A1,A2,A3,BV,G,GM,H,H_sigma,IR,UB,a,ad,albedo,class,closeness,condition_code,data_arc,diameter,diameter_sigma,dv,e,epoch,epoch_cal,epoch_mjd,equinox,est_diameter,extent,first_obs,full_name,i,id,inexact,last_obs,ma,moid,moid_jup,moid_ld,n,n_del_obs_used,n_dop_obs_used,n_obs_used,name,neo,om,orbit_id,pdes,per,per_y,pha,prefix,price,producer,profit,prov_des,q,rms,rot_per,saved,score,sigma_a,sigma_ad,sigma_e,sigma_i,sigma_ma,sigma_n,sigma_om,sigma_per,sigma_q,sigma_tp,sigma_w,spec,spec_B,spec_T,spkid,t_jup,tp,tp_cal,two_body,w
,-3.3718801801525103e-14,,,,,19.3,,,,1.189600821984975,1.4158935345580301,,APO,5792.571507783719,0.0,11075.0,,,4.663076,0.1902257533711703,2455907.5,20111212.0,55907.0,J2000,0.4736737867601935,,1986-04-14,162173 Ryugu (1999 JU3),5.883742390778817,a0162173,,2016-08-09,3.983244739497243,0.000638309,3.7003800000000004,0.24841071353,0.7596301443702679,,,725.0,Ryugu,Y,251.6197109778495,JPL 120,162173.0,473.9148422005283,1.2975081237523,Y,,82756156358.84914,Davide Farnocchia,30080459216.340637,1999 JU3,0.9633081094119196,0.35206,7.627000000000001,-69053443881.75815,289.64857538918585,3.3264e-09,3.9592e-09,4.0878e-08,3.9603e-06,2.5274000000000002e-05,3.1861e-09,3.7157e-05,1.9878e-06,4.7907e-08,3.3258e-05,4.1484e-05,Cg,Cg,,2162173.0,5.308,2455902.256336661,20111206.7563367,,211.42584970315048
,6.11653514199254e-14,,,,,19.3,,,,1.272461512574528,1.44622918640332,,AMO,5248.8041708285555,0.0,9733.0,,,4.888815,0.1365602590817959,2453968.5,20060821.0,53968.0,J2000,0.4736737867601935,,1989-06-06,10302 (1989 ML),4.377896318785177,a0010302,,2016-01-29,332.6731684547715,0.0820288,3.64543,31.923148096,0.6866526348315986,,,414.0,,Y,104.4061708412921,JPL 85,10302.0,524.2825582228924,1.4354074147101799,N,,13941858907.084631,Otto Matic,4379884826.959888,1989 ML,1.098693838745737,0.50627,19.0,199492161783.5526,262.46020854142773,2.388e-09,2.7141e-09,4.9612999999999996e-08,5.1798e-06,2.592e-05,1.9329000000000002e-09,6.1462e-05,1.4759000000000001e-06,6.2239e-08,3.7744e-05,6.6242e-05,X,X,,2010302.0,5.066,2454008.2971698632,20060929.797169898,,183.2427041176045
,,,,,,18.2,,,,1.4887600408617712,2.024672355852247,0.55,APO,5024.610548090387,0.0,13083.0,0.33,,4.984853,0.3599722589815505,2458200.5,20180323.0,58200.0,J2000,,,1981-09-30,4660 Nereus (1982 DB),1.431547323206529,a0004660,,2017-07-26,327.90297572125667,0.00325976,3.1000099999999997,1.2686007992000001,0.5425840445024191,16.0,16.0,555.0,Nereus,Y,314.439201591598,JPL 105,4660.0,663.4916814226277,1.81654122223854,Y,,4714378513.313096,Otto Matic,1390463968.012496,1982 DB,0.9528477258712936,0.47026,15.1,67457400577.253716,251.239956161546,2.4429e-09,3.3221999999999995e-09,2.9804e-09,2.5435e-06,8.5212e-06,1.3355e-09,2.9975e-05,1.6331e-06,4.0725e-09,1.585e-05,3.1113000000000005e-05,Xe,Xe,,2004660.0,4.493,2458259.6558572426,20180521.155857198,,158.0163122498974
,-4.614425168815923e-14,,0.64,-0.08,5.2e-09,20.19,0.06,-0.33,0.16,1.126391025934071,1.3558876877022648,0.046,APO,4809.139676759755,0.0,6821.0,0.492,0.02,5.095923,0.2037451084785423,2455562.5,20110101.0,55562.0,J2000,,0.565 x 0.535 x 0.508,1999-09-11,101955 Bennu (1999 RQ36),6.034939533607825,a0101955,,2018-05-15,101.7039479473255,0.0032228,3.87795,1.254217076,0.8244613502889271,22.0,7.0,518.0,Bennu,Y,2.060867329373625,JPL 97,101955.0,436.6487281348487,1.1954790640242299,Y,,669957009.2821819,Otto Matic,185002121.8577609,1999 RQ36,0.8968943641658774,0.27502,4.297,-395697167.69069386,240.4583237520063,4.0260999999999994e-11,4.8463999999999995e-11,2.2082000000000002e-08,2.8213e-06,2.6478e-06,4.4203e-11,3.9444e-06,2.3411e-08,2.486e-08,3.2088e-06,6.070599999999999e-06,B,B,,2101955.0,5.525,2455439.141945785,20100830.6419458,,66.22306846088361
,,,,,,18.0,,,,1.644588561816618,2.275835710451855,,APO,4647.459085543634,0.0,7686.0,0.78,0.08,5.163730999999999,0.3838328705983211,2457800.5,20170216.0,57800.0,J2000,,,1996-04-11,65803 Didymos (1996 GT),3.4076791820638133,a0065803,,2017-04-27,110.79621990461929,0.0406808,3.16266,15.831746935999998,0.4673240973573958,6.0,0.0,863.0,Didymos,Y,73.22185799635652,JPL 134,65803.0,770.3433271164755,2.1090850845078,Y,,62253881855.74078,Davide Farnocchia,16394706368.256353,1996 GT,1.013341413181381,0.32266999999999996,2.2593,890782323475.4404,232.3929542771817,7.7121e-09,1.0672e-08,9.810700000000001e-09,3.275e-06,1.7727e-05,3.2871999999999996e-09,2.3681e-05,5.4187e-06,1.8414e-08,3.6274e-05,2.6016e-05,Xk,Xk,,2065803.0,4.2,2457563.413531463,20160623.9135315,,319.2515891346795
,,,,,,19.9,,,,1.6206420179286,2.230361667930684,,APO,4598.442931538551,0.0,2178.0,,,5.18949,0.3762210551478778,2458200.5,20180323.0,58200.0,J2000,0.3593183125154385,,2011-10-25,436724 (2011 UW158),4.571690032188173,a0436724,,2017-10-11,107.6088975325662,0.00222549,2.9814599999999998,0.8660939433,0.4777200092885645,8.0,0.0,943.0,,Y,285.9913257608865,JPL 137,436724.0,753.5794879852807,2.06318819434711,Y,,6693104954.30548,Otto Matic,1735397619.6985211,2011 UW158,1.010922367926516,0.3356,0.61073,87088166917.25308,229.93553278683612,1.2158e-08,1.6732e-08,5.6365e-09,9.409700000000001e-07,5.0268e-06,5.3757e-09,2.1364e-06,8.4798e-06,6.5284e-09,8.293e-06,4.6543000000000005e-06,Xc,,,2436724.0,4.242,2457975.244839152,20170809.7448392,,8.766637603804996
,,,0.841,,,15.75,,,0.444,1.4304436784008483,1.796698522097027,0.17,AMO,4166.343272053864,0.0,16080.0,2.3,,5.439294,0.2560428272895237,2458200.5,20180323.0,58200.0,J2000,,,1973-03-10,1943 Anteros (1973 EC),8.70626951586493,a0001943,,2017-03-19,87.39164366082187,0.062488999999999996,3.19501,24.31884413,0.5761000723033239,,,3091.0,Anteros,Y,246.3323149457399,JPL 422,1943.0,624.8914334634129,1.7108595029799099,N,,5574298014866.438,Otto Matic,1249360985065.4124,1973 EC,1.064188834704668,0.40641,2.86923,-9221481573164.766,208.33716360269318,1.1331e-09,1.4232999999999998e-09,2.5313e-08,2.919e-06,6.4086e-06,6.8454e-10,1.8256e-05,7.425199999999999e-07,3.6204e-08,1.1109000000000002e-05,1.9386e-05,L,L,S,2001943.0,4.64,2458048.8047514446,20171022.304751396,,338.3612658392447
,,,,,,18.5,,,,1.032548390671834,1.259046972745844,,APO,3899.156002716339,0.0,8854.0,,,5.635712,0.2193588059603062,2458200.5,20180323.0,58200.0,J2000,0.6846669297430096,,1982-11-10,98943 (2001 CC21),4.808533490797227,a0098943,,2007-02-06,29.471815850537737,0.0830615,3.76902,32.325043955,0.9393738206474216,,,628.0,,Y,75.5790589093708,JPL 122,98943.0,383.234014071082,1.04923754708031,N,,147043126927.98822,Otto Matic,29768146209.742462,2001 CC21,0.8060498085978249,0.48303,5.0169999999999995,-243251344260.87195,194.97780013581695,1.1211e-08,1.367e-08,9.281599999999999e-08,4.1647e-06,9.455100000000001e-05,1.5299e-08,4.2185e-05,6.2416e-06,8.7778e-08,0.00010015,4.4708999999999995e-05,L,L,,2098943.0,5.906000000000001,2458169.1261047493,20180219.6261047,,179.32083234574299
,,,,,,18.0,,,,1.565640080293509,2.023237359953611,,AMO,3855.862397602145,0.0,9739.0,,,5.647982,0.292274888347466,2458200.5,20180323.0,58200.0,J2000,0.8619445964685667,,1990-08-19,7474 (1992 TC),7.088107034446275,a0007474,,2017-04-18,2.067527409975078,0.166957,3.44434,64.97465569,0.5031137397690945,,,333.0,,Y,88.62537536003614,JPL 52,7474.0,715.543964601768,1.95905260671258,N,,84008007321.60028,Otto Matic,16781630207.651987,1992 TC,1.108042800633406,0.6999,5.54,1202059144293.7646,192.8131198801072,1.8312e-08,2.3664e-08,1.1243000000000001e-07,4.7748000000000004e-06,0.00011207,8.8268e-09,6.644100000000001e-05,1.2554e-05,1.845e-07,0.00022268,9.4169e-05,X,X,,2007474.0,4.365,2458196.390536778,20180318.8905368,,275.6475228037731
,,,,,,20.4,,,,1.448534355471729,2.0631012714597152,,APO,3587.7363660640917,0.0,5374.0,,,5.879626999999999,0.4242680980720308,2458200.5,20180323.0,58200.0,J2000,0.28541668088449595,,2001-02-20,194006 (2001 SG10),4.2571451566057,a0194006,,2015-11-08,198.15643215055582,0.017169999999999998,3.12374,6.6820489,0.5653415091538062,,,319.0,,Y,184.9839471261446,JPL 55,194006.0,636.7832437049279,1.7434175050100702,Y,,3050146388.343907,Otto Matic,544598788.6772264,2001 SG10,0.8339674394837437,0.56009,,43644129582.87928,179.39291859598134,2.8694999999999997e-09,4.0869e-09,3.0986e-08,8.2508e-06,2.4575e-05,1.6799e-09,2.4495e-05,1.8922e-06,4.5803e-08,4.4197e-05,3.5031e-05,X,X,,2194006.0,4.545,2458486.7757558557,20190103.2757559,,101.5746537538662
